product_id,product_name,category,brand
P0174,IdeaPad Slim 4,Laptop,Dell
P0175,WiFi Router AX6000 8,Networking,Dell
P0176,ERP Standard 7,Software,HP
P0177,CRM Essentials 10,Software,Dell
P0178,Access Point Pro 4,Networking,Lenovo
P0179,IdeaPad Slim 5,Laptop,Cisco
P0180,Mesh Router 3,Networking,Lenovo
P0181,SSD 512GB 8,Storage,Dell
P0182,Access Point Pro 5,Networking,Microsoft
P0183,USB Drive 128GB 11,Storage,Cisco
P0184,VisionPro 27 6,Monitor,Cisco
P0185,Security Shield 7,Software,HP
P0186,SSD 512GB 9,Storage,Dell
P0187,Network Hub 9,Networking,Dell
P0188,OfficeView 22 10,Monitor,Dell
P0189,ERP Standard 8,Software,HP
P0190,ZenBook Air 5,Laptop,Lenovo
P0191,Office Suite 8,Software,Microsoft
P0192,SSD 512GB 10,Storage,Microsoft
P0193,Business Switch 24 8,Networking,Lenovo
P0194,Mesh Router 4,Networking,Lenovo
P0195,SSD 1TB 6,Storage,HP
P0196,OfficeView 22 11,Monitor,HP
P0197,ThinkBook Pro 14 5,Laptop,Cisco
P0198,Access Point Pro 6,Networking,Dell
P0199,NVMe Pro 2TB 4,Storage,Dell
P0200,Latitude 15 4,Laptop,Cisco
P0201,Cloud Backup 9,Software,Lenovo
P0202,Aspire Max 2,Laptop,Cisco
P0203,EliteBook X 3,Laptop,HP
P0204,ThinkBook Pro 14 6,Laptop,Cisco
P0205,Network Hub 10,Networking,Cisco
P0206,UltraView 24 9,Monitor,Dell
P0207,VisionPro 27 7,Monitor,Cisco
P0208,External HDD 2TB 6,Storage,HP
P0209,Surface Laptop Go 7,Laptop,Cisco
P0210,Crystal Display 5,Monitor,Lenovo
P0211,External HDD 2TB 7,Storage,Dell
P0212,ProColor 27 5,Monitor,Dell
P0213,USB Drive 128GB 12,Storage,Lenovo
P0214,NVMe Pro 2TB 5,Storage,Lenovo
P0215,Portable SSD 6,Storage,Microsoft
P0216,CRM Essentials 11,Software,HP
P0217,Cloud Backup 10,Software,Microsoft
P0218,IdeaPad Slim 6,Laptop,Lenovo
P0219,External HDD 2TB 8,Storage,Cisco
P0220,CRM Essentials 12,Software,Lenovo
P0221,Mesh Router 5,Networking,HP
P0222,SSD 512GB 11,Storage,HP
P0223,ProColor 27 6,Monitor,Cisco
P0224,ZenBook Air 6,Laptop,Dell
P0225,Mesh Router 6,Networking,HP
P0226,Cloud Backup 11,Software,Dell
P0227,CurvedView 32 5,Monitor,Lenovo
P0228,Latitude 15 5,Laptop,HP
P0229,Crystal Display 6,Monitor,Microsoft
P0230,ERP Standard 9,Software,Lenovo
P0231,Cloud Backup 12,Software,Dell
P0232,WiFi Router AX6000 9,Networking,HP
P0233,ZenBook Air 7,Laptop,Lenovo
P0234,Security Shield 8,Software,Lenovo
P0235,ThinkBook Pro 14 7,Laptop,Cisco
P0236,External HDD 2TB 9,Storage,Cisco
P0237,WiFi Router AX6000 10,Networking,HP
P0238,Mesh Router 7,Networking,Lenovo
P0239,CRM Essentials 13,Software,Lenovo
P0240,Crystal Display 7,Monitor,Microsoft
P0241,Security Shield 9,Software,HP
P0242,Security Shield 10,Software,HP
P0243,USB Drive 128GB 13,Storage,Lenovo
P0244,Latitude 15 6,Laptop,HP
P0245,Surface Laptop Go 8,Laptop,Dell
P0246,CurvedView 32 6,Monitor,Dell
P0247,Network Hub 11,Networking,Dell
P0248,Portable SSD 7,Storage,Dell
P0249,CRM Essentials 14,Software,Cisco
P0250,TravelMate Pro 5,Laptop,HP
P0251,ERP Standard 10,Software,Dell
P0252,CRM Essentials 15,Software,Dell
P0253,External HDD 2TB 10,Storage,Lenovo
P0254,NVMe Pro 2TB 6,Storage,HP
P0255,USB Drive 128GB 14,Storage,Microsoft
P0256,Office Suite 9,Software,HP
P0257,EliteBook X 4,Laptop,Lenovo
P0258,Security Shield 11,Software,Dell
P0259,Latitude 15 7,Laptop,Microsoft
P0260,Security Shield 12,Software,Microsoft
P0261,ThinkBook Pro 14 8,Laptop,HP
P0262,UltraView 24 10,Monitor,Cisco
P0263,External HDD 2TB 11,Storage,HP
P0264,Security Shield 13,Software,Microsoft
P0265,Business Switch 24 9,Networking,Dell
P0266,VisionPro 27 8,Monitor,Cisco
P0267,Office Suite 10,Software,Lenovo
P0268,SSD 512GB 12,Storage,HP
P0269,USB Drive 128GB 15,Storage,Microsoft
P0270,SSD 1TB 7,Storage,Lenovo
P0271,Latitude 15 8,Laptop,Microsoft
P0272,Access Point Pro 7,Networking,Lenovo
P0273,VisionPro 27 9,Monitor,Dell
P0274,Enterprise Firewall 7,Networking,Microsoft
P0275,Crystal Display 8,Monitor,Dell
P0276,Portable SSD 8,Storage,Lenovo
P0277,WiFi Router AX6000 11,Networking,Microsoft
P0278,CRM Essentials 16,Software,HP
P0279,Aspire Max 3,Laptop,Lenovo
P0280,USB Drive 128GB 16,Storage,Microsoft
P0281,UltraView 24 11,Monitor,Dell
P0282,ZenBook Air 8,Laptop,HP
P0283,Enterprise Firewall 8,Networking,HP
P0284,UltraView 24 12,Monitor,Cisco
P0285,SSD 512GB 13,Storage,Cisco
P0286,VisionPro 27 10,Monitor,Dell
P0287,TravelMate Pro 6,Laptop,Cisco
P0288,OfficeView 22 12,Monitor,Lenovo
P0289,Access Point Pro 8,Networking,HP
P0290,VisionPro 27 11,Monitor,Cisco
P0291,Business Switch 24 10,Networking,Cisco
P0292,WiFi Router AX6000 12,Networking,Dell
P0293,UltraView 24 13,Monitor,Dell
P0294,Network Hub 12,Networking,Microsoft
P0295,Security Shield 14,Software,Dell
P0296,External HDD 2TB 12,Storage,Microsoft
P0297,ThinkBook Pro 14 9,Laptop,Dell
P0298,VisionPro 27 12,Monitor,Dell
P0299,Enterprise Firewall 9,Networking,Microsoft
P0300,Network Hub 13,Networking,HP
